latitude,longitude,town,country
13.218055,45.307832,Jaar,Yemen
15.460938,45.321382,,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
17.015166,44.022514,Wadi al Abu Jabara,Yemen
15.381761,44.21044,Beit al Ahan village,Yemen
32.29337255,69.49728012,Shin Warsak,Pakistan
32.29337255,69.49728012,Shin Warsak,Pakistan
32.957941,70.168712,"Mubarak Shahi, near Mir Ali",Pakistan
33.00175347,70.01415253,"Tabbi, near Miranshah",Pakistan
32.98462003,70.37618637,"Hassokhel, near Mir Ali",Pakistan
14.099622,45.432054,Manaseh,Yemen
16.539117,49.149095,Shehr,Yemen
16.539117,49.149095,Shehr,Yemen
33.01873964,69.65881348,"Gurbaz, Shawal",Pakistan
14.099622,45.432054,Al Manaseh,Yemen
14.653544,47.009442,,Yemen
32.48659683,69.28321838,"Angor Adda, near Wana",Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
14.410844,44.840248,Radaa,Yemen
32.65389,70.19083,Babar Ghar,Pakistan
32.9700756,70.31078339,"Haiderkhel, near Mir Ali",Pakistan
32.953944,70.262883,"Hassokhel, near Mir Ali",Pakistan
32.953944,70.262883,"Hassokhel, near Mir Ali",Pakistan
15.519499,45.317648,Wadi Abida,Yemen
15.519499,45.317648,Wadi Abida,Yemen
15.519499,45.317648,Wadi Abida,Yemen
15.769722,45.41,Al Kanais,Yemen
15.460938,45.321382,Nakhla,Yemen
16.565146,45.538211,Al Boka,Yemen
15.704444,43.448889,Khawlan,Yemen
13.986689,45.574143,Qayfa,Yemen
32.95826549,70.24108887,Spinwam,Pakistan
32.65389,70.19083,Babar Ghar,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.516081,70.02398,Sararogha,Pakistan
14.550014,44.400374,Wessab,Yemen
15.519499,45.317648,Wadi Abida,Yemen
14.037734,46.767517,Al Mahfad,Yemen
14.410844,44.840248,Radaa,Yemen
32.97742,70.08634,"Chashma village, near Miranshah",Pakistan
14.03382,46.786228,Al Mahfad,Yemen
32.779193,69.873047,Shawal,Pakistan
16.696709,45.109863,Al Mahashma or Khab al-Shath,Yemen
33.0020414,70.06084442,Miranshah,Pakistan
32.99988191,70.34082413,Mosaki,Pakistan
14.037317,46.768633,Al Mahfad,Yemen
32.779193,69.873047,Shawal,Pakistan
14.588566,46.332241,Al Saeed,Yemen
15.904444,48.568056,Wadi Ser,Yemen
15.519499,45.317648,Wadi Abeeda,Yemen
14.98284,46.59975,Markha,Yemen
15.51948,45.317652,Wadi Abeeda,Yemen
14.635202,49.008491,Al Oyoun,Yemen
15.840861,48.483724,Al Qatn,Yemen
13.232191,44.777508,Al Askariya,Yemen
16.1532,43.1867,,Yemen
14.099622,45.432054,Manasseh,Yemen
32.96201033,70.33344269,Hassokhel,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
32.7026315,69.9816857,Shawal,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
33.02133047,69.82566833,Datta Khel,Pakistan
0.4932,42.77408,Jilib,Somalia
33.0017,70.0673,Zafar area of Miranshah,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
15.993,48.847,Ghayl Bawazir,Yemen
33.4644138,70.9798979,"Tal, Hangu District",Pakistan
32.97776297,70.08612137,Miranshah,Pakistan
15.84201676,48.45545951,Al Qatn,Yemen
14.40948662,44.84022741,Rada'a,Yemen
15.85213141,48.49708739,Al Qatn,Yemen
34.23152137,71.04002456,Lal Pur,Pakistan-Afghanistan Border
32.98418805,70.07663727,"Qutab Khel, Miranshah",Pakistan
15.92518852,48.63614342,Shibam,Yemen
14.45048082,44.86872157,,Yemen
15.83718625,48.4719651,Al Qatn,Yemen
15.9102365,48.61546852,"Al-Houta, near Shibam",Yemen
15.519499,45.317648,Wadi Abeeda,Yemen
0.538867787,43.05437987,Hawai,Somalia
15.45017719,45.3186518,Shebwan,Yemen
14.05730864,46.90706935,Al Mahfad,Yemen
14.03640126,46.77107878,Mayfaa,Yemen
16.565146,45.538211,Khalka,Yemen
15.50657523,45.27945549,Wadi Abeeda,Yemen
17.34012923,43.55072601,Jebel Jame,Yemen
14.05730864,46.90706935,Al Mahfad,Yemen
14.08533567,45.80343227,Sawma'ah,Yemen
14.04874019,46.91922791,Mahfad,Yemen
14.6757656,46.29878849,Usylan,Yemen
15.61240195,45.51011473,Wadi Abeeda,Yemen
15.61240195,45.51011473,Wadi Abeeda,Yemen
33.07804735,69.91707654,Tabi Tolkhel,Pakistan
33.03137271,70.02775522,Dande Darpa Khel,Pakistan
14.47769544,46.15628273,Mafraq al-Saeed,Yemen
33.08948188,69.96249171,Dande Darpa Khel,Pakistan
32.898757,69.757682,Doga Mada Khel,Pakistan
32.898313,69.749205,Datta Khel,Pakistan
32.899205,69.769976,Doga Mada Khel,Pakistan
32.901274,69.731456,Datta Khel,Pakistan
15.412781,45.375369,Wadi Abida,Yemen
16.367958,49.545398,,Yemen
1.206811,43.873565,Baraawe,Somalia
15.059262,46.855642,,Yemen
32.904805,69.780743,Datta Khel,Pakistan
16.16924,44.796697,Khasaf,Yemen
32.268118,69.581148,Wana,Pakistan
32.578645,69.449321,Shawal,Pakistan
32.578959,69.45239,Shawal,Pakistan
32.585922,69.448686,Shawal,Pakistan
32.91666,69.763804,Datta Khel,Pakistan
32.908295,69.744568,Datta Khel,Pakistan
32.911025,69.762962,Datta Khel,Pakistan
33.815428,70.667356,Tirah Valley,Pakistan
32.804136,69.681201,Marga/Shawal,Pakistan
14.265494,47.588714,Bani Assaf/Mayfaa district,Yemen
14.412101,44.864604,Radaa,Yemen
32.312553,69.405773,Nargas Village/Azam Warsak,Pakistan
14.427058,44.837306,Radaa,Yemen
14.433748,44.857733,Radaa,Yemen
14.418977,44.855855,Radaa,Yemen
32.903424,69.771795,Datta Khel,Pakistan
14.319685,47.442831,Azzam,Yemen
32.895606,69.72912,Madakhel/Datta Khel,Pakistan
32.713078,69.586956,Garga/Shawal,Pakistan
32.931972,69.755025,Khar Tangi Village/Datta Khel,Pakistan
32.899015,69.769954,Datta Khel,Pakistan
32.786696,69.677233,Shawal,Pakistan
1.6378,42.456479,Saakow,Somalia
33.141547,70.031364,Lawara Mandi/Datta Khel,Pakistan
32.709132,69.623301,Shawal,Pakistan
32.567156,69.829475,Tehsil Ladha,Pakistan
32.697184,69.564403,Shawal,Pakistan
14.367268,47.340372,Hareeb,Yemen
32.682519,69.548837,Shawal,Pakistan
